id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UChB8bUjn0O6rQEKARo-P42Q,0,,false,,299,55,7046
UCsUj_0NbWIUCgU-cPnxbAyA,43,,false,,75128,103,2280185
UCBy2Cc6zB55O3a6WlfXZmgw,0,,false,,1696,573,221814
UCr43SYetUBUFQ0D4d1KEGqg,4,,false,,246,27,17671
UCitfW-6gWRb9LwtjSwn8dLA,137,,false,,2279,107,97327
UCvxCjmaMP6bWVg9BMHAHnTw,0,,false,,6024,92,292555
UCdKJle7arF59WMuhWFgp08A,0,,false,,107,18,8625
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
xjjBsrIp1c4,0,0,,2,,,34
,,,,,,,
AJ8AJ0wTTDQ,0,0,,1,,,49
KMilwguEUSU,2,0,,2,,,16
ANzKGdLYTHE,9,1,,31,,,693
0c7pF1IIStE,17,1,,13,,,145
9gL-LDWC4fQ,0,0,,2,,,41
k95EmZK87a8,1386,2,,1248,,,10930
OC6Ya3_BISE,8,2,,24,,,126
xnW6apk4D0o,6,1,,7,,,51
9OeSC27S05g,31,1,,81,,,441
UC1xQtWWd2HVxuH1W6Td5lJQ,0,,false,,9501,264,667974
UCcdnYuxR4EL7w5YgyvSuL5A,0,,false,,14418,101,890139
UC2QS1dw4h3Eu89rwSr7nMng,4596,,false,,585044,636,69110905
UCcjDtVz97oC5v_3pD-I7n9g,782,,true,,0,469,6529264
UCXUEPGyFKJlMBgFZdPMcOtA,0,,false,,2972,849,4085835
UCJwbizvCnlpYcpKKkmUSn2w,17,,false,,5548,423,1185978
UCnP4QvetTHlQjwAP7dLtbSg,0,,false,,363,30,9840
UCCDWYWqAed5WZRxq5AvPjLw,1,,false,,2661,19,78679
UC0-JbuiwVtBzF7n3XpPxnqw,0,,true,,0,375,250401
UCrh8vPq0SHZlI8K8rp-gXeA,0,,false,,19,7,1409
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
tE4CAn_wCpk,0,0,,19,,,617
KBVxUyPPVQ4,46,9,,163,,,1204
UpW7hhgZvFc,6,1,,12,,,228
,,,,,,,
TAjojovxucw,5,0,,6,,,53
sodqmBQaKdk,256,27,,544,,,8059
gJtpbqu55Qk,0,0,,0,,,1
6N0T_s0Q57I,147,3,,131,,,938
fwxADSX9SgM,13,0,,70,,,419
9I4QzxmGKWY,6,0,,15,,,221
OYwLdn7pnl8,1,1,,3,,,263
UChMrA3bCvCLMMyBAf1Xj2UA,0,,true,,0,12,1663
,,,,,,,
FuaArhOIoLo,,0,,0,,,20
SWvFzgUilLQPE,0,,false,,848,13,0
SWwg84PuMuSZQ,0,,false,,12524,311,0
SWWgs_hiVxgZk,0,,false,,324,12,0
SWvVnWIwSDRaw,0,,false,,91,55,0
SWWkHKVHSC2Hs,0,,false,,733,153,0
SWvFHB2mZp3Tw,0,,false,,552,499,0
SWwrDDmirmdQo,0,,false,,784,18,0
SWvfzW2_Eq7Lk,0,,false,,61,18,0
SWwJJsjobhckA,0,,false,,756,697,0
SWV_voJUGPnNg,0,,false,,17575,83,0
SWxh5FkVCaekc,0,,false,,5611,286,0
SWxv9FjJOgsBw,0,,false,,110,20,0
SB3H2CX5jIMSg,0,,false,,817,706,0
SWX4j8ZrLOYw8,0,,false,,1729,40,0
SB0CymbF98W2E,0,,false,,121,572,0
SB2faAUGzrxJY,0,,false,,1043,779,0
SWWTFDFOR2XVQ,0,,false,,641,18,0
SWX84whOn3Fik,0,,false,,14184,69,0
SWxH29V0bP4YM,0,,false,,630,596,0
SB47Ro0I_IJnQ,0,,false,,122,191,0
SB8FEOrnIduyM,0,,false,,168,589,0
SB0X7gO9GXPis,0,,false,,290,922,0
SWXhuC1JGwOxQ,0,,false,,784,26,0
SBAtfYtpIH9Mo,0,,false,,159,1165,0
SB98t9_0Bvvg4,0,,false,,338,394,0
SWxL-K_8zOtpI,0,,false,,90,12,0
SB1luBg42XGn4,0,,false,,13912,467,0
SWXXkihjP7KcY,0,,false,,11756,3,0
SWXj7DhT5nIz8,0,,false,,5551,1520,0
SB8O0Meod_cXk,0,,false,,625,258,0
SWxY-Q-sNdqBg,0,,false,,90105,334,0
SWy2ejmrdRkGA,0,,false,,2292,10,0
SWyAL6x9XnXas,0,,false,,286,64,0
SWyOIitqsH_Eg,0,,false,,2677,2,0
SWyjeIhDSXtQQ,0,,false,,3602,24,0
SWYevz15-BpdI,0,,false,,8,6,0
SWY9hx0kTTU6M,0,,false,,427,105,0
SWYkSSUuljAds,0,,false,,110,4,0
SWY6Oc_QC_D1M,0,,false,,640,179,0
SBKQgs5rnH_I4,0,,false,,6380,94,0
SBCElj1b_RSA8,0,,false,,68,108,0
SBlteEO-VNsDA,0,,false,,6173,229,0
SBl-q6K-iFs_0,0,,false,,26974,232,0
SBDR25qeUABPs,0,,false,,247,383,0
SBF1b9kTPFNiQ,0,,false,,16203,438,0
SBLRDg874XJh8,0,,false,,10301,1515,0
SBMRWpphns3rY,0,,false,,655,670,0
SWxZXElPBMcBY,0,,false,,6490,1533,0
SBj2Qo1UCEhq8,0,,false,,402,499,0
SBkpb2ovTTnLQ,0,,false,,5222,20452,0
SWYQdU8HP406U,0,,false,,639,16,0
SWZk2dX5DnW_c,0,,false,,16828,251,0
SWzFuYLfSjFbU,0,,false,,1572,790,0
SWy_FO9VJPFYI,0,,false,,378,58,0
SWYWyvHvVl84c,0,,false,,146,23,0
SWzFq6uskVTGo,0,,false,,1139,68,0
SWZTI7dvCrVOo,0,,false,,6312,1076,0
SWY_NN9sACOGI,0,,false,,3812,7,0
SBoO9KLUAEoEg,0,,false,,977,1234,0
SBNIumgcBkgnY,0,,false,,15545,386,0
SBT6TAJprIlkk,0,,false,,63,30,0
SBpcHF0FYOb_k,0,,false,,12493,45,0
SBop0HWOMMsic,0,,false,,1003,1540,0
SBZxaGztO4Hz8,0,,false,,898,697,0
SBTHukCqT-8eQ,0,,false,,529,157,0
SBUouEB0oPDeI,0,,false,,1385,741,0
SWzhp3DuGC1VI,0,,false,,779,14,0
SByDf5N1CinWI,0,,false,,16298,388,0
SBnZbd67wyBSU,0,,false,,21412,918,0
SWZ4XrGh-LzlA,0,,false,,819,187,0
,,,,,,,
SW_gXv1CXoeX0,0,,false,,44,10,0
SW_c3r-wUQ3qo,0,,false,,2756,481,0
SW0tZgFuuxESE,0,,false,,330,92,0
SW04xm-iyL9WU,0,,false,,8507,125,0
SW-83DN5lQ268,0,,false,,94,34,0
SW-eqExqzFC8w,0,,false,,595,72,0
SW0iDB_rPbr64,0,,false,,886,20,0
SW_6jduUaAEVY,0,,false,,49,5,0
SWzXIt_ux3AgI,0,,false,,925,54,0
SW_vDG6Qc580M,0,,false,,1591,162,0
UC---_ej-e6zrxxE2QlnOAgw,59,,false,,652,71,91500
UC--24TuGCf6g6ahaCSet1jA,0,,false,,1583,18,46451
UC--0W9cZo-c8mWvg41I2cQg,6,,false,,21526,84,7324213
SW-eO1oBbQsJY,0,,false,,35,11,0
SW-Kjqq1GeZtU,0,,false,,595,77,0
SW09BlXQ2QylM,0,,false,,9828,7,0
SW-mo2X5kJ-EE,0,,false,,69,13,0
SW-EKXtlQOwCs,0,,false,,172,43,0
UC---XwG2lLHtKe8Rd-fao6A,0,,false,,12,5,52
UC--88JLne1Sd6lFyexLm0oQ,10648,,false,,1323,83,343304
UC--4I--CXMDxjSqs7ZiDUDQ,99,,false,,1786,428,922675
UC--4-5ya3Mwfos6HSXWYCoQ,0,,false,,1810,146,111369
UC--70ql_IxJmhmqXqrkJrWQ,175,,false,,76302,96,2842264
UC--64hj3-OLVzsa1p-6c9sQ,0,,false,,49464,181,5359515
UC--7TfsWesYbuEFYf-_eEig,0,,false,,282,0,0
UC--4poe0wjcQQ3SLs7SKREw,4,,false,,98,38,3393
UC--3ozenTzry39-xMqAPQlw,43,,false,,68970,73,8802881
,,,,,,,
SW0ukoyr2GOys,0,,false,,1205,110,0
SW1sEtRQ8u_7g,0,,false,,934,415,0
SW1FyO_FERga8,0,,false,,45,68,0
SW1Vfx2rlGC5s,0,,false,,697,2123,0
SW2-uUSiFF0oo,0,,false,,1602,87,0
SW1KH6hsM2pTY,0,,false,,268,10,0
SW0U_TXOSdRFA,0,,false,,35,8,0
SW1AHvsDqGUP0,0,,false,,88,191,0
SW0X9STqdECU4,0,,false,,388,72,0
UC--6RYz-q5rq0lG8Dad8GTA,10,,false,,612,88,5402
,,,,,,,
,,,,,,,
,,,,,,,
UC--7CiHJSNkS-dk8wE_UaNA,0,,false,,484,4,1962364
,,,,,,,
,,,,,,,
,,,,,,,
etzoby9xnYQ,1,0,,3,,,22
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
mF0DIGTpLYA,1,1,,27,,,2825
,,,,,,,
,,,,,,,
SW4dp3SemZowU,0,,false,,4341,110,0
,,,,,,,
SW3AZFKJImPv8,0,,false,,31951,58,0
SW33SMfLIpmNA,0,,false,,516,73,0
SW3u2zKEcwYaI,0,,false,,409,56,0
SW3IbRzdv4nXo,0,,false,,708,14,0
SW2nIpSrgkrTU,0,,false,,428,14,0
IJHq-daSKRQ,30,0,,29,,,145
3Nrq23gXOgo,0,6,,11,,,2268
2so6grRmEzE,65,,,,,,2119
BPFzCWTB90A,27,0,,16,,,53
,,,,,,,
SW3RtKQOy0lLE,0,,false,,36801,113,0
SW2woL2oDfQO0,0,,false,,240,140,0
SW4j3dUjBEihY,0,,false,,804,16,0
SW3PXZ5tMur_0,0,,false,,46,36,0
T_y64JhWShA,0,1,,6,,,131
jDwxzzIS9tc,139,48,,3691,,,178115
jyYR5UGuriY,5,0,,2,,,82
rZ59agEE4Wc,135,44,,65,,,533
MJT5u_qQlvs,15,6,,89,,,2586
SW60Ada0j2WmQ,0,,false,,9,24,0
SW4kifpQtRVvk,0,,false,,8761,1263,0
SW6_i3ZN8vpq8,0,,false,,1096,30,0
SW5WN8n3u4bPs,0,,false,,1316,49,0
SW56wnMxUYWPU,0,,false,,23079,5,0
SW6bNLRUUGY7w,0,,false,,1096,1452,0
SW6F0Szea7mhU,0,,false,,910,978,0
SW78f_aD64jyA,0,,false,,20537,26,0
SW5Zny6G9taOw,0,,false,,379,12,0
2IlXs3xnZec,56,1,,322,,,2232
SW4lekyyFxbGc,0,,false,,855,131,0
4IWd89kL1H8,217,30,,2434,,,9872
SW7t3bdZ9CcVo,0,,false,,44,252,0
SW8Nq9PcQmIXo,0,,false,,643,247,0
SW7NNLXmrBPSA,0,,false,,163,51,0
SW7xupLqsx22I,0,,false,,165,4,0
SW7JXsQ5oOlyE,0,,false,,503,1198,0
SW8zakkRE8aUU,0,,false,,7284,195,0
SW8ViLbmmZbiY,0,,false,,1,3,0
SW7JU2i_tuVzA,0,,false,,469,152,0
SW8yg2vS9zdQA,0,,false,,21,20,0
SW8UJSAvWIJ1E,0,,false,,1238,205,0
SWAa75pSvjjm4,0,,false,,418,722,0
SWAhhvsGvdap0,0,,false,,1342,13,0
SW9j388pFNumY,0,,false,,59610,123,0
SWAKZh6kUAgKw,0,,false,,3645,298,0
SWA9NU8T4nM5o,0,,false,,232,8,0
UC--aogxePIY50s9T6drRjrQ,0,,false,,2518,343,649294
UC--bbkMU6z3r3wBDUINwaNQ,0,,false,,9923,70,1051045
SWaHzZo6fkq8Y,0,,false,,2530,1100,0
SWa7ROBHSoh7A,0,,false,,48588,102,0
SW9t79yWkonAo,0,,false,,8857,50,0
UC--988QUmikjFgwxLnruB_w,508,,false,,1349,327,326042
UC--bvqIpsVLPWt7EUZDIKcg,2,,false,,818,137,217149
UC--BMyA2X4a9PGAo3lTuopg,3825,,false,,881787,41,124323711
UC--aHl3t17oSNo84DvNebrw,0,,false,,1120,21,576452
UC--CmvOGjoPxZnSZ4FMzOAw,0,,false,,97,0,0
UC--bM8XLtEXJHkwZJeZcUrA,0,,false,,16,3,245
UC--daNPWeQjmMRxv6TWEBYw,0,,false,,41,0,0
